"Moip Interest Amount","Juros de Pacelamento (Moip)"
"Please enter a valid credit card number.","Por favor digite um número de cartão de crédito válido."
"Incorrect credit card expiration month.","Mês de vencimento incorreto."
"Please enter a valid credit card verification number.","Insira um número de CVV (código de segurança) válido."
"Incorrect credit card expiration year.","Ano de vencimento incorreto."
"%1x of %2 not interest","%1x de %2 sem juros"
"%1% of discount cash with total of %2","%1% de desconto no total de %2"
"%1x of %2 in the total value of %3","%1x de %2 no valor total de %3"
"Payment Services","Serviços de Pagamento"
"Permission for config Moip","Permissão de configuração para o módulo Moip"
"Permission for set preference account Moip","Permissão de definição de preferência para módulo Moip"
"<div class='moip-payment-logo'></div><div class='moip-payment-byline'><p>Moip by PagSeguro is a complete payment solution exclusive to <b>Brazil</b>.</p><p>The complete solution for receiving payments and simplifying your business finances. Our solution has everything you need to accept all payment methods.</p></div>","<div class='moip-payment-logo'></div><div class='moip-payment-byline'><p>Moip by PagSeguro é uma solução de pagamento exclusiva para o <b>Brasil</b>.</p><p>A solução completa para receber pagamentos e simplificar as finanças do seu negócio. Nossa solução tem tudo que você precisa para aceitar todos meios de pagamento.</p></div>"
"Attribute Relationship Definition","Relacionamento de atributo"
"List the attributes of your Magento the data expected by our API","Informe em quais campos são coletados os atributos esperados por nossa API."
"The CPF/CNPJ will be an attribute obtained from the","O CPF/CNPJ será um atributo obtido do"
"The CPF/CNPJ attribute is","O atributo do CPF/CNPJ é"
"The Street attribute is","O logradouro (rua) é"
"The address number is","O número do endereço é"
"The address district is","O bairro é"
"The address complement is","O complemento do endereço é"
Credentials,Credencial de acesso
Environment,Ambiente
"Module Authorization","Autorização do módulo"
"Warning because the sandbox account is not the same as production","Atenção pois a conta de sandbox não é mesma de produção"
"Statement Descriptor","Nome da Loja"
"Store segment","Segmento da Loja"
"Moip - Cartão de Crédito","Moip - Cartão de Crédito"
Enabled,Habilitado
Title,Título
"Enable Vault","Habilitar Cartão de Crédito salvo (Vault)"
"Payer Data Capture","Captura dos dados do pagador"
"Capture tax document (CPF or CNPJ) in the payment form?","Captura documento fiscal (CPF ou CNPJ) no formulário de pagamento?"
"Capture date of birth in the payment form?","Captura a data de nascimento no formulário de pagamento?"
"Capture phone in the payment form?","Capturar telefone no formulário de pagamento?"
"Installment and interest","Parcelamento e taxas de juros"
"Interest rate","Tipo de juros"
"Minimum value of installment","Valor mínimo da parcela"
"Maximum number of installments","Número máximo de parcelas"
"Interest on the 2nd tranche","Juros da 2ª parcela"
"Interest on the 3nd tranche","Juros da 3ª parcela"
"Interest on the 4nd tranche","Juros da 4ª parcela"
"Interest on the 5nd tranche","Juros da 5ª parcela"
"Interest on the 6nd tranche","Juros da 6ª parcela"
"Interest on the 7nd tranche","Juros da 7ª parcela"
"Interest on the 8nd tranche","Juros da 8ª parcela"
"Interest on the 9nd tranche","Juros da 9ª parcela"
"Interest on the 10nd tranche","Juros da 10ª parcela"
"Interest on the 11nd tranche","Juros da 11ª parcela"
"Interest on the 12nd tranche","Juros da 12ª parcela"
"Payment Action","Ação de Pagamento"
"Moip - Boleto","Moip - Boleto"
"Days due","Dias de vencimento"
"Instruction - 1st line","1ª Linha de instrução"
"Instruction - 2st line","2ª Linha de instrução"
"Instruction - 3st line","3ª Linha de instrução"
"Customer orientation at checkout","Orientação ao cliente no checkout"
"Capture name in the payment form?","Capturar nome do pagador no formulário de pagamento?"
"Moip - Checkout diretamente no Moip","Moip - Checkout diretamente no Moip"
"Allows payment in installments per order","Permite parcelamento definido a cada pedido"
"Maximum installments allowed","Parcelas máximas permitidas"
"Payment Config","Configuração de Pagamento"
Debug,Debug - Úsar apenas em ambiente de teste (Sandbox)
"Minimum Order Total","Total mínimo do pedido"
"Maximum Order Total","Total máximo do pedido"
"Payment From Applicable Countries","Pagamento de países aplicáveis"
"Payment From Specific Countries","Pagamento de países específicos"
"Sort Order","Ordem de exibição"
"Payment Split","Payment Split"
"Use Split","Usar Split"
"MPA - Secondary","MPA - Secundário"
"Include Freight on Commission","Incluir o valor do frete no cálculo da comissão"
"Include credit card interest in the commission","Incluir o valor do juros de parcelamento no cálculo da comissão"
"Percentage sent to the commissioner","Percentual de comissão enviada"
"O identificador próprio não foi informado.","O identificador próprio não foi informado."
"O nome não foi informado.","O nome não foi informado."
"O nome informado não é válido.","O nome informado não é válido."
"O nome informado não pode conter só números.","O nome informado não pode conter só números."
"O e-mail não foi informado.","O e-mail não foi informado."
"O e-mail informado é inválido.","O e-mail informado é inválido."
"A data de nascimento informada é inválida.","A data de nascimento informada é inválida."
"O identificador próprio deve ser único, já existe um customer com o identificador informado.","O identificador próprio deve ser único, já existe um customer com o identificador informado."
"É necessário informar os dados do comprador.","É necessário informar os dados do comprador."
"A data de nascimento não foi informada.","A data de nascimento não foi informada."
"A estrutura de informações do documento não foi informada.","A estrutura de informações do documento não foi informada."
"A estrutura de telefone não foi informado.","A estrutura de telefone não foi informado."
"A estrutura de endereço não foi informado.","A estrutura de endereço não foi informado."
"O CNPJ informado deve ter 14 números.","O CNPJ informado deve ter 14 números."
"O código de país do telefone informado deve ser numérico.","O código de país do telefone informado deve ser numérico."
"O código de área local do telefone deve ser informado.","O código de área local do telefone deve ser informado."
"O código de área local do telefone informado deve ser numérico.","O código de área local do telefone informado deve ser numérico."
"O número de telefone não foi informado.","O número de telefone não foi informado."
"O número de telefone deve ser numérico.","O número de telefone deve ser numérico."
"O tipo do endereço não foi informado.","O tipo do endereço não foi informado."
"A rua do endereço não foi informada.","A rua do endereço não foi informada."
"O número do endereço não foi informado.","O número do endereço não foi informado."
"O número do endereço deve ser numérico.","O número do endereço deve ser numérico."
"O complemento do endereço informado possui quantidade de caracteres inválido.","O complemento do endereço informado possui quantidade de caracteres inválido."
"O bairro do endereço não foi informado.","O bairro do endereço não foi informado."
"O bairro do endereço informado possui quantidade de caracteres inválido.","O bairro do endereço informado possui quantidade de caracteres inválido."
"A cidade do endereço não foi informado.","A cidade do endereço não foi informado."
"A cidade do endereço informado possui quantidade de caracteres inválido.","A cidade do endereço informado possui quantidade de caracteres inválido."
"O estado do endereço não foi informado.","O estado do endereço não foi informado."
"O estado do endereço informado possui quantidade de caracteres inválido.","O estado do endereço informado possui quantidade de caracteres inválido."
"O país do endereço não foi informado.","O país do endereço não foi informado."
"O país do endereço informado é inválido.","O país do endereço informado é inválido."
"O código postal do endereço não foi informado.","O código postal do endereço não foi informado."
"O código postal do endereço deve ser numérico.","O código postal do endereço deve ser numérico."
"O código postal deve conter no 8 dígitos.","O código postal deve conter no 8 dígitos."
"A rua deve conter no máximo 200 caracteres.","A rua deve conter no máximo 200 caracteres."
"O número da rua deve conter no máximo 10 caracteres.","O número da rua deve conter no máximo 10 caracteres."
"É necessário informar seu identificador próprio.","É necessário informar seu identificador próprio."
"O identificador próprio de pedido deve ter no máximo 45 caracteres.","O identificador próprio de pedido deve ter no máximo 45 caracteres."
"O pedido precisa de um recebedor do tipo PRIMARY.","O pedido precisa de um recebedor do tipo PRIMARY."
"Moeda informada é inválida. Atualmente apenas BRL é válido.","Moeda informada é inválida. Atualmente apenas BRL é válido."
"O valor de frete deve ser maior que zero.","O valor de frete deve ser maior que zero."
"O valor adicional deve ser maior que zero.","O valor adicional deve ser maior que zero."
"O valor de desconto deve ser maior que zero.","O valor de desconto deve ser maior que zero."
"O valor dos itens deve ser maior que zero.","O valor dos itens deve ser maior que zero."
"Todos os valores devem ser maiores que zero.","Todos os valores devem ser maiores que zero."
"É necessário informar pelo menos um item.","É necessário informar pelo menos um item."
"Informe o nome do produto.","Informe o nome do produto."
"O nome do item deve ter no máximo 250 caracteres.","O nome do item deve ter no máximo 250 caracteres."
"A descrição do produto deve ter no máximo 250 caracteres.","A descrição do produto deve ter no máximo 250 caracteres."
"O item deve ter um valor.","O item deve ter um valor."
"Informe o identificador da conta Moip.","Informe o identificador da conta Moip."
"Informe o tipo do recebedor. Deve ser PRIMARY ou SECONDARY.","Informe o tipo do recebedor. Deve ser PRIMARY ou SECONDARY."
"Tipo de recebedor inválido. Deve ser PRIMARY ou SECONDARY.","Tipo de recebedor inválido. Deve ser PRIMARY ou SECONDARY."
"É necessário informar o valor de recebimento.","É necessário informar o valor de recebimento."
"Não é possível inserir o mesmo receiver duas vezes.","Não é possível inserir o mesmo receiver duas vezes."
"Split de tarifas não suportado. Apenas um dos recebedores pode pagar a tarifa.","Split de tarifas não suportado. Apenas um dos recebedores pode pagar a tarifa."
"Pedido não encontrado.","Pedido não encontrado."
"O valor de frete deve ser informado em centavos. Exemplo R$241,00.","O valor de frete deve ser informado em centavos. Exemplo R$241,00."
"O valor adicional deve ser informado em centavos. Exemplo R$241,00.","O valor adicional deve ser informado em centavos. Exemplo R$241,00."
"O valor de desconto deve ser informado em centavos. Exemplo R$241,00.","O valor de desconto deve ser informado em centavos. Exemplo R$241,00."
"O valor do item deve ser informado em centavos.","O valor do item deve ser informado em centavos."
"Id da conta Moip informada esta encerrada.","Id da conta Moip informada esta encerrada."
"Conta Moip não encontrada para o email do comprador.","Conta Moip não encontrada para o email do comprador."
"É necessário informar ao menos uma conta Moip.","É necessário informar ao menos uma conta Moip."
"O valor percentual deve ser informado em formato numérico.","O valor percentual deve ser informado em formato numérico."
"O valor percentual deve ser entre 0 e 100.","O valor percentual deve ser entre 0 e 100."
"O valor fixo deve ser informado em centavos.","O valor fixo deve ser informado em centavos."
"É necessário especificar quem irá pagar a taxa de transação.","É necessário especificar quem irá pagar a taxa de transação."
"O tipo de pagador é inválido.","O tipo de pagador é inválido."
"O valor dos recebedores excede o valor pago.","O valor dos recebedores excede o valor pago."
"O pedido precisa ter valor maior que zero.","O pedido precisa ter valor maior que zero."
"O pedido já foi pago.","O pedido já foi pago."
"Não foi possível descriptografar o hash do cartão.","Não foi possível descriptografar o hash do cartão."
"A data de nascimento do portador do cartão é inválido.","A data de nascimento do portador do cartão é inválido."
"O CPF informado deve ter 11 números.","O CPF informado deve ter 11 números."
"O valor do pagamento é inválido ou maior do que o valor restante do pedido.","O valor do pagamento é inválido ou maior do que o valor restante do pedido."
"O IP possui mais de 15 caracteres.","O IP possui mais de 15 caracteres."
"O fingerprint possui mais de 256 caracteres.","O fingerprint possui mais de 256 caracteres."
"O userAgent possui mais de 256 caracteres.","O userAgent possui mais de 256 caracteres."
"A latitude possui mais de 3 inteiros ou 7 decimais.","A latitude possui mais de 3 inteiros ou 7 decimais."
"A longitude possui mais de 3 inteiros ou 7 decimais.","A longitude possui mais de 3 inteiros ou 7 decimais."
"Valor da taxa é maior que o valor da comissão.","Valor da taxa é maior que o valor da comissão."
"Quantidade de parcelas deve ser numérico.","Quantidade de parcelas deve ser numérico."
"A estrutura do instrumento de pagamento não foi informada.","A estrutura do instrumento de pagamento não foi informada."
"O statementDescriptor deve ter no máximo 13 caracteres.","O statementDescriptor deve ter no máximo 13 caracteres."
"A estrutura de informações não está correta para o método informado.","A estrutura de informações não está correta para o método informado."
"Pagamento não encontrado.","Pagamento não encontrado."
"O nó de parcelas não deve ser negativo.","O nó de parcelas não deve ser negativo."
"Já existe um pagamento realizado com cartão de crédito.","Já existe um pagamento realizado com cartão de crédito."
"Já existe um pagamento realizado com cartão de débito.","Já existe um pagamento realizado com cartão de débito."
"Ocorreu um erro na criação cartão de crédito.","Ocorreu um erro na criação cartão de crédito."
"Forma de pagamento não autorizada para a conta.","Forma de pagamento não autorizada para a conta."
"A estrutura de informações de cartão de crédito não foi informada.","A estrutura de informações de cartão de crédito não foi informada."
"Já existe um pagamento realizado com boleto bancário.","Já existe um pagamento realizado com boleto bancário."
"Já existe um pagamento realizado com débito em conta.","Já existe um pagamento realizado com débito em conta."
"Somente é possível capturar pagamentos com status PRE_AUTHORIZED.","Somente é possível capturar pagamentos com status PRE_AUTHORIZED."
"Somente é possível desfazer pagamentos com status PRE_AUTHORIZED.","Somente é possível desfazer pagamentos com status PRE_AUTHORIZED."
"Conta Moip não autorizada.","Conta Moip não autorizada."
"Conta Moip não encontrada.","Conta Moip não encontrada."
"Já existe um pagamento realizado com wallet para esse pedido.","Já existe um pagamento realizado com wallet para esse pedido."
"Forma de pagamento não pode ser utilizada nesse pedido.","Forma de pagamento não pode ser utilizada nesse pedido."
"O mês de expiração do cartão de crédito não foi informado.","O mês de expiração do cartão de crédito não foi informado."
"O mês de expiração do cartão de crédito deve ser numérico.","O mês de expiração do cartão de crédito deve ser numérico."
"O mês de expiração do cartão informado é inválido.","O mês de expiração do cartão informado é inválido."
"O ano de expiração do cartão não foi informado.","O ano de expiração do cartão não foi informado."
"O ano de expiração do cartão de crédito deve ser numérico.","O ano de expiração do cartão de crédito deve ser numérico."
"A data de expiração do cartão de crédito deve ser maior ou igual a data.","A data de expiração do cartão de crédito deve ser maior ou igual a data."
"O ano de expiração do cartão informado é inválido.","O ano de expiração do cartão informado é inválido."
"Formato informado para o cartão de crédito é invalido.","Formato informado para o cartão de crédito é invalido."
"O código de segurança do cartão deve conter 4 caracteres para Amex e 3.","O código de segurança do cartão deve conter 4 caracteres para Amex e 3."
"O número do cartão não foi informado.","O número do cartão não foi informado."
"O número do cartão deve ser numérico.","O número do cartão deve ser numérico."
"O número do cartão informado possui quantidade de caracteres inválido.","O número do cartão informado possui quantidade de caracteres inválido."
"O código de segurança do cartão não foi informado.","O código de segurança do cartão não foi informado."
"O código de segurança do cartão deve ser numérico.","O código de segurança do cartão deve ser numérico."
"A estrutura de informaççes do portador do cartão não foi informado.","A estrutura de informaççes do portador do cartão não foi informado."
"O nome do portador do cartão não foi informado.","O nome do portador do cartão não foi informado."
"O nome do portador do cartão Deve ter no mínimo 3 caracteres e no máximo.","O nome do portador do cartão Deve ter no mínimo 3 caracteres e no máximo."
"O nome do portador do cartão informado é inválido.","O nome do portador do cartão informado é inválido."
"A data de nascimento do portador do cartão não foi informado.","A data de nascimento do portador do cartão não foi informado."
"A estrutura de documento do portador do cartão não foi informado.","A estrutura de documento do portador do cartão não foi informado."
"A estrutura de telefone do portador não foi informado.","A estrutura de telefone do portador não foi informado."
"A estrutura de endereço de cobrança do portador não foi informado.","A estrutura de endereço de cobrança do portador não foi informado."
"O número informado não é um número de cartão válido.","O número informado não é um número de cartão válido."
"Cartão de crédito não foi encontrado.","Cartão de crédito não foi encontrado."
"A data de expiração do boleto bancário não foi informada.","A data de expiração do boleto bancário não foi informada."
"A data de expiração do boleto bancário é anterior a atual.","A data de expiração do boleto bancário é anterior a atual."
"A data de expiração do boleto bancário informado é inválida.","A data de expiração do boleto bancário informado é inválida."
"A primeira linha de instruções do boleto possui quantidade de caractere.","A primeira linha de instruções do boleto possui quantidade de caractere."
"A segunda linha de instruções do boleto possui quantidade de caracteres.","A segunda linha de instruções do boleto possui quantidade de caracteres."
"A terceira linha de instruções do boleto possui quantidade de caractere.","A terceira linha de instruções do boleto possui quantidade de caractere."
"A uri de logo marca a ser aplicada no boleto é inválido.","A uri de logo marca a ser aplicada no boleto é inválido."
"O número de identificação bancária não foi informado.","O número de identificação bancária não foi informado."
"O número de identificação bancária é inválido.","O número de identificação bancária é inválido."
"O número de identificação bancária informado é inválido para esta operadora.","O número de identificação bancária informado é inválido para esta operadora."
"A data de expiração não foi informada.","A data de expiração não foi informada."
"A data de expiração informado é inválida.","A data de expiração informado é inválida."
"A uri de redirecionamento informada é inválido.","A uri de redirecionamento informada é inválido."
"Não foi possível desfazer o pagamento, pois ele já está capturado na adquirente.","Não foi possível desfazer o pagamento, pois ele já está capturado na adquirente."
"Dados de pagamento MPOS inválidos.","Dados de pagamento MPOS inválidos."
"Verifique o CPF/CNPJ, ele não foi informado.","Verifique o CPF/CNPJ, ele não foi informado."
"O valor deve ser informado em centavos.","O valor deve ser informado em centavos."
"O valor solicitado para reembolso é maior que o valor do pagamento ou inválido.","O valor solicitado para reembolso é maior que o valor do pagamento ou inválido."
"O valor solicitado somado aos reembolsos parciais é maior que o valor disponível para reembolso.","O valor solicitado somado aos reembolsos parciais é maior que o valor disponível para reembolso."
"Reembolso já realizado.","Reembolso já realizado."
"O reembolso não pode ser realizado pois o pagamento não foi autorizado.","O reembolso não pode ser realizado pois o pagamento não foi autorizado."
"O reembolso não foi autorizado pois o pedido ainda não foi pago.","O reembolso não foi autorizado pois o pedido ainda não foi pago."
"Informe um instrumento financeiro válido.","Informe um instrumento financeiro válido."
"Tipo de conta bancária inválido.","Tipo de conta bancária inválido."
"Esse pedido possui mais de um pagamento autorizado. É necessário fazer os reembolsos parciais individualmente nos pagamentos.","Esse pedido possui mais de um pagamento autorizado. É necessário fazer os reembolsos parciais individualmente nos pagamentos."
"O identificador do banco deve ser numérico.","O identificador do banco deve ser numérico."
"O identificador de banco informado é inválido, consulte lista de bancos disponíveis para reembolso.","O identificador de banco informado é inválido, consulte lista de bancos disponíveis para reembolso."
"A agência bancária deve ser numérica.","A agência bancária deve ser numérica."
"O digito verificador da agência bancária deve ser numérico ou caracter X.","O digito verificador da agência bancária deve ser numérico ou caracter X."
"O número da conta bancária possui caracteres inválidos. Apenas caracteres numéricos são aceitos.","O número da conta bancária possui caracteres inválidos. Apenas caracteres numéricos são aceitos."
